ref_id,zs,zb,ifold,dx
41897.0,0.354,0.349,0,-0.0036927587
42497.0,1.034,0.98600006,0,-0.02359881
2505.0,0.307,0.307,0,0.0
52587.0,0.33900002,0.32900003,0,-0.007468253
18461.0,0.124000005,0.202,0,0.06939502
38041.0,0.28300002,0.282,0,-0.00077943644
1999.0,0.65800005,0.634,0,-0.014475301
2691.0,0.66700006,0.66700006,0,0.0
44689.0,0.22100002,0.22100002,0,0.0
38243.0,0.72300005,0.72700006,0,0.002321537
38217.0,0.739,0.69600004,0,-0.024726843
43117.0,0.48000002,0.47700003,0,-0.002027021
70721.0,0.22100002,0.22200002,0,0.0008190025
52977.0,0.642,0.611,0,-0.018879427
44745.0,0.99700004,1.0,0,0.001502234
111881.0,0.21300001,0.216,0,0.0024731995
45075.0,1.1730001,1.171,0,-0.00092042953
53077.0,0.78800005,0.78000003,0,-0.004474282
53821.0,0.68200004,0.67200005,0,-0.0059452974
13635.0,0.59300005,0.60400003,0,0.006905196
53997.0,0.53300005,0.536,0,0.001956922
79055.0,0.63000005,0.624,0,-0.003681007
53843.0,0.282,0.282,0,0.0
78031.0,0.37500003,0.377,0,0.0014545267
79941.0,0.874,0.87900007,0,0.0026681188
26891.0,0.683,0.674,0,-0.005347595
54129.0,0.68100005,0.674,0,-0.0041642054
54483.0,0.96000004,0.957,0,-0.001530623
54307.0,0.726,0.72700006,0,0.0005794013
96385.0,0.22900002,0.22600001,0,-0.002441014
54361.0,0.388,0.379,0,-0.0064841523
52585.0,0.078,0.085,0,0.006493506
26675.0,0.66,0.674,0,0.008433734
38001.0,0.185,0.186,0,0.0008438836
41909.0,0.133,0.126,0,-0.006178287
70663.0,0.216,0.21800001,0,0.0016447402
79427.0,0.46400002,0.45200002,0,-0.008196718
79737.0,0.37500003,0.37300003,0,-0.0014545484
79987.0,0.53300005,0.52900004,0,-0.0026092683
13591.0,0.76400006,0.74700004,0,-0.009637199
73465.0,0.73,0.73,0,0.0
42053.0,0.09900001,0.102000006,0,0.002729753
96189.0,0.88100004,0.88600004,0,0.0026581578
13643.0,0.762,0.749,0,-0.007377986
53171.0,0.34500003,0.337,0,-0.0059479675
97259.0,0.21100001,0.21000001,0,-0.00082576554
97459.0,0.52000004,0.52500004,0,0.0032894707
42451.0,0.69600004,0.68700004,0,-0.0053066052
53045.0,0.72700006,0.72700006,0,0.0
55897.0,0.344,0.34500003,0,0.0007440602
97667.0,0.615,0.596,0,-0.011764702
79709.0,0.60800004,0.628,0,0.012437799
79891.0,0.46600002,0.47200003,0,0.0040927776
79851.0,0.19500001,0.192,0,-0.0025104652
42811.0,0.67700005,0.67800003,0,0.0005962952
28457.0,0.781,0.785,0,0.0022459337
42735.0,0.43800002,0.44200003,0,0.0027816468
80033.0,0.21300001,0.21400002,0,0.00082440395
42975.0,0.47200003,0.47100002,0,-0.0006793593
62457.0,0.411,0.4,0,-0.0077958945
54177.0,0.50100005,0.505,0,0.0026648557
74953.0,0.354,0.356,0,0.0014771079
42529.0,0.24100001,0.245,0,0.0032232015
62697.0,0.762,0.749,0,-0.007377986
46437.0,0.36400002,0.372,0,0.0058650924
39899.0,0.638,0.647,0,0.0054945075
43153.0,0.578,0.60400003,0,0.016476566
43147.0,0.537,0.54800004,0,0.0071568233
73007.0,0.85200006,0.87100005,0,0.010259176
73333.0,0.379,0.37500003,0,-0.002900637
26211.0,0.124000005,0.124000005,0,0.0
94537.0,1.2190001,1.1980001,0,-0.009463734
73415.0,0.75000006,0.78700006,0,0.021142857
60771.0,0.46400002,0.467,0,0.0020491744
73577.0,0.49100003,0.48800004,0,-0.0020120665
64491.0,0.328,0.326,0,-0.0015060271
55035.0,0.851,0.83300006,0,-0.009724445
56867.0,0.123,0.117000006,0,-0.005342829
26817.0,0.592,0.60400003,0,0.0075377035
54873.0,0.84000003,0.837,0,-0.0016304462
55117.0,0.38000003,0.372,0,-0.0057971133
80809.0,0.16600001,0.16600001,0,0.0
55257.0,0.517,0.51500005,0,-0.0013183746
43563.0,0.70000005,0.73700005,0,0.021764705
43475.0,0.75000006,0.75500005,0,0.00285714
60743.0,0.16600001,0.16800001,0,0.0017152693
43583.0,0.124000005,0.124000005,0,0.0
63701.0,0.82400006,0.837,0,0.0071271663
63995.0,0.657,0.661,0,0.002414006
41585.0,0.75100005,0.75500005,0,0.0022844134
56619.0,1.019,0.94900006,0,-0.034670625
41787.0,0.52900004,0.531,0,0.0013080275
64285.0,0.822,0.82400006,0,0.0010977134
64603.0,0.34100002,0.33100003,0,-0.007457114
56123.0,0.758,0.77500004,0,0.009670091
46831.0,0.46800002,0.46600002,0,-0.0013624005
43719.0,0.22000001,0.21900001,0,-0.00081967376
80799.0,0.609,0.609,0,0.0
63223.0,0.19600001,0.216,0,0.016722405
39199.0,0.67200005,0.67200005,0,0.0
38695.0,0.47500002,0.89400005,0,0.2840678
63723.0,0.268,0.26500002,0,-0.0023659237
63395.0,0.50200003,0.49500003,0,-0.004660452
38717.0,0.734,0.72900003,0,-0.0028835037
63293.0,0.74300003,0.74,0,-0.0017211824
38769.0,0.22000001,0.22100002,0,0.00081967376
64567.0,0.72900003,0.72800004,0,-0.0005783615
38487.0,0.38700002,0.38300002,0,-0.002883928
64263.0,0.43600002,0.432,0,-0.002785521
14161.0,0.67200005,0.674,0,0.0011961568
39503.0,0.554,0.53900003,0,-0.0096525
39371.0,0.735,0.712,0,-0.013256486
44405.0,0.34,0.33900002,0,-0.00074625906
39559.0,0.50600004,0.49400002,0,-0.007968144
31111.0,0.157,0.16700001,0,0.008643047
14293.0,0.128,0.124000005,0,-0.0035460999
31259.0,0.565,0.569,0,0.0025559156
43257.0,0.78700006,0.74500006,0,-0.023503074
60035.0,0.5,0.49800003,0,-0.0013333162
47611.0,0.845,0.864,0,0.010298099
43259.0,0.80700004,0.74200004,0,-0.03597122
45053.0,0.837,0.83300006,0,-0.0021774352
31543.0,0.46400002,0.492,0,0.019125681
32197.0,0.36800003,0.36400002,0,-0.0029239825
23989.0,0.583,0.59400004,0,0.0069488552
24045.0,0.40800002,0.42900002,0,0.014914772
110841.0,0.30800003,0.37,0,0.04740059
28253.0,0.69000006,0.69200003,0,0.0011834167
38989.0,0.62,0.624,0,0.0024691408
32837.0,0.37300003,0.37300003,0,0.0
28753.0,0.532,0.528,0,-0.0026109712
38789.0,0.82500005,0.82500005,0,0.0
47795.0,0.84900004,0.859,0,0.005408324
48049.0,0.21400002,0.21200001,0,-0.0016474498
48005.0,0.794,0.79800004,0,0.002229659
39271.0,0.82500005,0.83500004,0,0.0054794466
39219.0,0.62100005,0.67200005,0,0.03146206
31833.0,0.97400004,0.96800005,0,-0.0030395049
32139.0,0.467,0.46300003,0,-0.0027266382
25769.0,0.77300006,0.75000006,0,-0.012972364
22559.0,0.36100003,0.358,0,-0.0022042769
27509.0,0.87000006,0.873,0,0.0016042573
27807.0,0.53000003,0.504,0,-0.01699348
48059.0,0.124000005,0.125,0,0.00088967494
23157.0,0.864,0.86700004,0,0.0016094532
23515.0,0.711,0.70600003,0,-0.0029222649
48037.0,0.578,0.568,0,-0.0063371295
32133.0,0.26500002,0.26500002,0,0.0
23827.0,0.397,0.397,0,0.0
23795.0,0.36100003,0.35500002,0,-0.004408532
23949.0,0.71000004,0.669,0,-0.023976613
32331.0,0.31800002,0.319,0,0.00075871556
38523.0,0.92100006,0.846,0,-0.03904219
46847.0,0.671,0.67200005,0,0.000598472
76867.0,0.74300003,0.72800004,0,-0.008605843
49361.0,0.87900007,0.85300004,0,-0.013837159
47745.0,0.19600001,0.19500001,0,-0.0008361221
49655.0,0.337,0.33900002,0,0.0014958894
38373.0,0.264,0.20700002,0,-0.045094926
49983.0,0.55600005,0.638,0,0.0526992
49949.0,0.55600005,0.559,0,0.0019279957
12409.0,0.66700006,0.68,0,0.007798411
49541.0,0.374,0.372,0,-0.0014556069
48339.0,0.84300005,0.836,0,-0.003798171
12813.0,0.74700004,0.735,0,-0.006868932
39369.0,0.36100003,0.35900003,0,-0.0014695106
50273.0,0.80600005,0.795,0,-0.006090829
39455.0,0.363,0.289,0,-0.054292
39457.0,0.372,0.37100002,0,-0.0007288536
39453.0,0.36200002,0.363,0,0.00073420495
33737.0,0.69900006,0.71500003,0,0.009417288
34049.0,0.52900004,0.66800004,0,0.090909086
33557.0,0.66400003,0.674,0,0.0060096094
34097.0,0.53300005,0.528,0,-0.0032616144
34349.0,0.563,0.55600005,0,-0.0044785473
34779.0,0.43500003,0.43600002,0,0.00069685513
24633.0,0.30900002,0.30800003,0,-0.00076393207
23413.0,1.4460001,1.1800001,0,-0.10874899
13359.0,0.81100005,0.827,0,0.008834883
18493.0,0.748,0.73200005,0,-0.009153303
23529.0,0.499,0.504,0,0.0033355537
23657.0,0.21900001,0.21700001,0,-0.0016406925
23185.0,0.36100003,0.363,0,0.0014694887
18141.0,0.38700002,0.372,0,-0.010814719
25697.0,0.22700001,0.22000001,0,-0.005704971
2969.0,0.52000004,0.523,0,0.0019736588
3169.0,0.66800004,0.665,0,-0.0017985738
3663.0,0.50600004,0.50600004,0,0.0
3659.0,0.69500005,0.698,0,0.0017698887
3219.0,0.66800004,0.661,0,-0.00419666
40649.0,0.30600002,0.30900002,0,0.0022970836
16827.0,0.86,0.84800005,0,-0.0064515937
33109.0,0.66700006,0.666,0,-0.00059990806
16977.0,0.41000003,0.40300003,0,-0.0049645384
40641.0,0.09200001,0.091000006,0,-0.0009157528
41271.0,0.57000005,0.57000005,0,0.0
40881.0,0.35300002,0.354,0,0.00073908875
17627.0,0.43500003,0.425,0,-0.006968655
27617.0,0.532,0.52900004,0,-0.0019581993
24725.0,0.31100002,0.31300002,0,0.0015255561
24817.0,0.66,0.717,0,0.034337338
